央视频道,#genre#
湖南金鹰纪实,http://150.138.8.143:80/00/SNM/CHANNEL00000334/index.m3u8
湖南金鹰卡通,http://150.138.8.143:80/00/SNM/CHANNEL00002027/index.m3u8
湖南快乐垂钓,http://150.138.8.143:80/00/SNM/CHANNEL00000648/index.m3u8
湖南茶,http://150.138.8.143:80/00/SNM/CHANNEL00000649/index.m3u8
北京纪实科教,http://150.138.8.143:80/00/SNM/CHANNEL00000332/index.m3u8
北京卡酷少儿,http://150.138.8.143:80/00/SNM/CHANNEL00000661/index.m3u8
河南文物宝库,http://150.138.8.143:80/00/SNM/CHANNEL00000658/index.m3u8
河南梨园,http://150.138.8.143:80/00/SNM/CHANNEL00000656/index.m3u8
河南武术世界,http://150.138.8.143:80/00/SNM/CHANNEL00000657/index.m3u8
SiTV东方财经,http://150.138.8.143:80/00/SNM/CHANNEL00002025/index.m3u8
SiTV乐游,http://150.138.8.143:80/00/SNM/CHANNEL00002016/index.m3u8
SiTV动漫秀场,http://150.138.8.143:80/00/SNM/CHANNEL00002000/index.m3u8
SiTV劲爆体育,http://150.138.8.143:80/00/SNM/CHANNEL00002026/index.m3u8
SiTV法治天地,http://150.138.8.143:80/00/SNM/CHANNEL00002010/index.m3u8
SiTV游戏风云,http://150.138.8.143:80/00/SNM/CHANNEL00002024/index.m3u8
SiTV生活时尚,http://150.138.8.143:80/00/SNM/CHANNEL00002019/index.m3u8
SiTV都市频道,http://150.138.8.143:80/00/SNM/CHANNEL00002022/index.m3u8
SiTV金色学堂,http://150.138.8.143:80/00/SNM/CHANNEL00002018/index.m3u8
SiTV魅力足球,http://150.138.8.143:80/00/SNM/CHANNEL00002021/index.m3u8
生态频道 4M1080,http://150.138.8.143:80/00/SNM/CHANNEL00000671/index.m3u8
重庆汽摩,http://150.138.8.143:80/00/SNM/CHANNEL00000711/index.m3u8
SiTV都市剧场 576,http://150.138.8.143:80/00/SNM/CHANNEL00000630/index.m3u8
上海哈哈炫动 576,http://150.138.8.143:80/00/SNM/CHANNEL00000050/index.m3u8
北京卡酷少儿 576,http://150.138.8.143:80/00/SNM/CHANNEL00000048/index.m3u8
广东嘉佳卡通 576,http://150.138.8.143:80/00/SNM/CHANNEL00000074/index.m3u8
江苏优漫卡通 576,http://150.138.8.143:80/00/SNM/CHANNEL00000049/index.m3u8
江苏财富天下 576,http://150.138.8.143:80/00/SNM/CHANNEL00000607/index.m3u8
